period,Polyester_yarn_price,PTA_price,MEG_price,hs61_vietnam_ExpPrice,hs62_vietnam_ExpPrice,hs61_china_ExpPrice,hs62_china_ExpPrice,hs61_india_ExpPrice,hs62_india_ExpPrice,hs61_indonesia_ExpPrice,hs62_indonesia_ExpPrice,hs61_cambodia_ExpPrice,hs62_cambodia_ExpPrice,Global Price of Cotton (US Cents/lb),usd2vnd_exchange_monthly_avg_rate,brent_oil_price_monthly_avg_rate,Global_clothing_export
201910,1.9081574766013174,0.8574358271994803,0.7141994764789027,1253032299.088,1188137884.801,6163849082.0,5286025386.0,592696194.449,516203251.931,296694481.859,319957402.089,4961410.93,11780734.01,73.8847826086957,23205.739130434784,59.6313043478261,15633338127.157
201911,1.9081574766943816,0.8574358272097898,0.7141994765416235,1208156546.102,1129097941.966,5588412794.0,5043891663.0,528694150.7,530162176.812,282799576.233,343171454.536,4814561.93,11923418.84,74.8571428571428,23210.809523809523,62.6866666666667,14671124284.119001
201912,1.9081574767941198,0.857435827205955,0.7141994765328534,1346227685.875,1377782518.055,6126916448.0,6417785282.0,717432586.228,692119760.174,297395201.615,418089058.583,5569549.26,12767909.54,75.83,23171.454545454544,65.3481818181818,17412085999.329998
202001,1.7829258186188803,0.5874433728008042,0.5933645257489976,1103297069.897,1170133433.822,6481047754.0,6375289404.0,639927320.285,813260513.278,303831811.764,402185302.879,493985871.32,264123138.17,79.0681818181818,23166.60869565217,63.8986956521739,18047081619.414997
202002,1.7829258186210635,0.5874433728056169,0.5933645257203987,1008764057.758,999397254.937,1159377802.0,1210522412.0,629342438.733,848449085.928,290586959.083,389709396.976,405687140.22,232613063.35,76.5675,23210.65,55.691,7174449610.985
202003,1.7829258185756156,0.5874433728055309,0.593364525726497,1067691506.294,1033428356.804,3205497209.0,2864567852.0,479465605.093,641543190.661,259017102.599,352052476.132,317276477.97,185691770.12,67.6863636363636,23239.090909090908,33.9472727272727,10406231546.673
202004,1.7829258185915784,0.5874433728038909,0.5933645257338331,729463055.684,709294598.544,2858910175.0,3359070797.0,57717139.749,69139469.52,181035712.167,216903331.089,250114601.59,134123275.22,63.5325,23473.68181818182,26.8486363636364,8565772155.563001
202005,1.782925818606875,0.5874433728023923,0.593364525758237,845557442.139,867462481.054,3383140068.0,4625479336.0,248231863.876,268774364.355,199348502.729,204368175.408,325335072.23,149355274.0,65.7026315789474,23336.714285714286,32.4223809523809,11117052579.791
202006,1.7829258185052386,0.5874433728022646,0.5933645257697544,1104032587.362,1313930666.88,5093451356.0,6597033052.0,401106737.345,403210573.485,268480757.941,288316347.624,460287943.86,193992187.08,67.8,23216.045454545456,40.8604545454546,16123842209.577002
202007,1.7829258184710712,0.5874433728060133,0.5933645257542678,1312338587.89,1522645637.441,6586340378.0,7478216595.0,572307246.376,492767676.227,335004098.066,347269757.822,594184497.78,262415899.32,68.5239130434783,23182.652173913044,43.295652173913,19503490373.921997
202008,1.7829258186105927,0.5874433728013178,0.593364525743732,1327423205.706,1431298298.044,7404760954.0,7376600662.0,609753119.5,475206327.179,318415412.05,322814859.952,493683971.79,167024753.9,70.0,23172.571428571428,45.0814285714286,19926981564.121002
202009,1.7829258186537578,0.5874433727985832,0.59336452572126,1347798255.626,1285613346.938,7380958430.0,6394114257.0,651015214.337,541395562.262,317622706.539,318413189.528,434137621.59,162254141.25,70.8136363636363,23173.0,41.9268181818182,18833322725.07
202010,1.7829258184740566,0.5874433727993715,0.5933645257036612,1294916192.491,992859919.267,6404093231.0,5256761048.0,650395296.419,529142984.501,290978783.3,232147590.006,470601279.96,172323639.51,74.8159090909091,23174.18181818182,41.6068181818182,16294219964.453999
202011,1.7829258186056947,0.5874433727986406,0.5933645257175548,1148046878.704,852399574.639,5956459062.0,4913713782.0,570854930.124,475871245.775,259710561.823,240058377.815,410898610.95,158059350.94,77.7238095238095,23173.761904761905,44.05,14986072374.770002
202012,1.7829258185548993,0.5874433728034101,0.5933645257352188,1411498059.276,1151342264.397,6313804462.0,5824174752.0,623582108.012,572105424.45,326060046.296,319605315.313,536903507.67,217050765.64,81.0214285714286,23152.217391304348,50.3769565217391,17296126705.054
202101,1.1963105022962954,0.80432029795697,0.9179716702810303,1291864271.475,1102934930.79,6235759590.0,5545642615.0,637522022.286,658721798.531,310682392.46,306976634.63,446950196.63,219158775.66,87.235,23139.95238095238,55.2247619047619,16756213227.461996
202102,1.3043793190207038,0.8043202979529623,0.9179716702636647,915096445.266,732997874.806,4872363903.0,4253697044.0,646892769.735,702223772.001,299008409.081,307567648.359,377851625.42,180470882.02,92.76,23176.0,62.3625,13288170373.688
202103,1.2051325715137178,0.8043202979554978,0.9179716702555719,1360988285.484,1081745275.713,3918047554.0,3668099490.0,675604513.528,751457508.185,354898418.289,346384024.806,359516061.06,183535199.63,91.4521739130435,23144.91304347826,65.7960869565217,12700276330.694998
202104,1.1692113356422045,0.8043202979515857,0.9179716703070824,1281228536.634,941532125.286,5316132332.0,4405380942.0,637960280.97,659964785.366,281523089.352,279659986.512,297351879.3,126679641.27,90.73,23106.86363636364,65.5318181818182,14227413598.689997
202105,1.288934552886284,0.8043202979533807,0.9179716702564553,1302583750.475,1016902145.83,6021577181.0,4834179487.0,568655890.344,537294480.642,255777050.438,238072201.072,303740554.57,116204503.13,90.8868421052632,23058.14285714286,68.3752380952381,15194987244.501
202106,1.368379647649203,0.8043202979498308,0.9179716702763322,1525434165.605,1251168366.355,7361207233.0,5960005303.0,406921535.038,596443397.31,359036144.252,318159030.134,475916750.36,141273984.25,94.5045454545455,22993.40909090909,73.5127272727273,18395565909.303997
202107,1.4418566542691755,0.8043202979569765,0.9179716702942389,1509157755.67,1322437284.898,8192770752.0,6889437321.0,714675229.852,674559453.862,371240859.981,367495640.768,681162922.69,219958235.07,97.7,23003.68181818182,74.4031818181818,20942895455.791
202108,1.4674866554151014,0.8043202979493922,0.9179716703012899,1173133953.933,1213916022.105,9373075673.0,6974398992.0,729158791.142,508629994.913,444252989.84,401559035.356,598147598.4,185267056.6,101.304761904762,22844.36363636364,70.5881818181818,21601540107.288998
202109,1.5407670547354955,0.8043202979460292,0.9179716702683755,966913284.969,1056481714.409,9027290406.0,6500509334.0,769026897.346,530627544.38,413158880.2,371570871.11,565686712.34,182178557.92,103.681818181818,22757.18181818182,74.7495454545454,20383444202.674
202110,1.4258734496410466,0.8043202979558126,0.9179716702899755,1196497180.265,1163692514.131,8740885020.0,6581377785.0,732448164.259,523457325.65,361922346.71,342210756.324,489868534.32,160752079.64,117.383333333333,22748.23809523809,83.8652380952381,20293111706.299
202111,1.5350701988597428,0.8043202979540027,0.9179716702903203,1451636134.948,1269838205.616,7940507195.0,6173889596.0,588032569.037,484989599.645,434512452.204,383044287.675,438882677.54,148828400.04,126.543181818182,22675.5,80.8904545454545,19314161117.704998
202112,1.5037902270492374,0.8043202979514983,0.9179716702727209,1759952997.081,1506343367.155,8156315738.0,6610473471.0,758932592.807,707528408.866,464453076.498,454414681.93,548903893.85,230275980.88,120.040476190476,22904.60869565217,74.6782608695652,21197594208.067
202201,1.5949470160751142,1.0937524643822103,0.8490455632627077,1727129501.788,1558969715.56,8196463121.0,6635038879.0,743415773.062,803441504.409,446694151.607,452334730.147,526021458.56,245926300.92,132.3325,22700.285714285717,85.6223809523809,21335435136.052998
202202,1.6054226355859025,1.0937524643906051,0.8490455632382701,991985345.192,837127544.001,4760451801.0,4323374411.0,743828995.424,856555492.049,400688689.707,387004963.528,456226505.5,230445140.74,138.405,22735.55,94.267,13987688888.141
202203,1.4427331903770924,1.0937524643830572,0.8490455632498586,1450134672.086,1257042762.502,5134747444.0,4478872272.0,777194249.02,964214007.248,416342486.351,466676397.656,458100429.06,220196479.39,141.126086956522,22852.52173913044,112.44,15623521199.313
202204,1.5163252030091847,1.0937524643773169,0.8490455632246589,1514730821.504,1333828044.061,5838236987.0,4780762904.0,728369078.254,847302787.426,455754500.115,427083384.841,510020525.65,225329535.61,155.315789473684,22908.809523809523,106.155714285714,16661418568.461
